Series,TypeDimension,ResistanceRange,Price5Percent,Price1Percent,Package
FRC,0201 1/20W,"0R, 10R-10M",1.4,,15000PCS
FRC,0201 1/20W,1R-9.9R,1.8,,15000PCS
FRC,0201 1/20W,10R-1M,,1.7,15000PCS
FRC,0201 1/20W,1R-9.9R/1M1-10M,,2.8,15000PCS
FRC,0402 1/16W,"0R,510R-10M",1.4,,10000PCS
FRC,0402 1/16W,10R-470R,1.5,,10000PCS
FRC,0402 1/16W,1R-9.9R,1.8,,10000PCS
FRC,0402 1/16W,10R-1M,,1.7,10000PCS
FRC,0402 1/16W,1R-9.9R/1M1-10M,,2.1 / 1.76,10000PCS
FRC,0603 1/10W,"0R,510R-10M",2.6,,5000PCS
FRC,0603 1/10W,10R-470R,2.8,,5000PCS
FRC,0603 1/10W,1R-9.9R,3.6,,5000PCS
FRC,0603 1/10W,10R-1M,,3.1,5000PCS
FRC,0603 1/10W,1R-9.9R/1M1-10M,,3.63 / 3.2,5000PCS
FRC,0805 1/8W,"0R,510R-10M",4.4,,5000PCS
FRC,0805 1/8W,10R-470R,5.0,,5000PCS
FRC,0805 1/8W,1R-9.9R,5.7,,5000PCS
FRC,0805 1/8W,10R-1M,,5.2,5000PCS
FRC,0805 1/8W,1R-9.9R/1M1-10M,,6.5 / 6,5000PCS
FRC,1206 1/4W,"0R,510R-10M",7.3,,5000PCS
FRC,1206 1/4W,10R-470R,8.5,,5000PCS
FRC,1206 1/4W,1R-9.9R,10.1,,5000PCS
FRC,1206 1/4W,10R-1M,,8.8,5000PCS
FRC,1206 1/4W,1R-9.9R/1M1-10M,,11.55 / 10.4,5000PCS
FRC,1210 1/2W,"0R, 10R-10M",16.0,,5000PCS
FRC,1210 1/2W,1R-9.9R,18.0,,5000PCS
FRC,1210 1/2W,10R-1M,,21.0,5000PCS
FRC,1210 1/2W,1R-9.9R/1M1-10M,,28.2,5000PCS
FRC,1812 3/4W,"0R, 10R-10M",46.8,,4000PCS
FRC,1812 3/4W,1R-9.9R,49.8,,4000PCS
FRC,1812 3/4W,10R-1M,,57.0,4000PCS
FRC,1812 3/4W,1R-9.9R/1M1-10M,,87.6,4000PCS
FRC,2010 3/4W,"0R, 10R-10M",32.4,,4000PCS
FRC,2010 3/4W,1R-9.9R,35.4,,4000PCS
FRC,2010 3/4W,10R-1M,,39.6,4000PCS
FRC,2010 3/4W,1R-9.9R/1M1-10M,,45.6,4000PCS
FRC,2512 1W,"0R, 10R-10M",50.4,,4000PCS
FRC,2512 1W,1R-9.9R,57.0,,4000PCS
FRC,2512 1W,10R-1M,,60.0,4000PCS
FRC,2512 1W,1R-9.9R/1M1-10M,,72.0,4000PCS
FRL,0402 1/16W,0.1R-0.18R,9.95,12.05,10000PCS
FRL,0402 1/16W,0.2R-0.33R,9.95,11.47,10000PCS
FRL,0402 1/16W,0.36R-0.99R,8.78,10.53,10000PCS
FRL,0603 1/10W,0.1R-0.18R,7.61,9.36,5000PCS
FRL,0603 1/10W,0.2R-0.33R,7.37,9.36,5000PCS
FRL,0603 1/10W,0.36R-0.976R,7.02,9.36,5000PCS
FRL,0603 1/10W,0.036R-0.099R,17.55,24.57,5000PCS
FRL,0805 1/8W,0.1R-0.18R,6.81,8.58,5000PCS
FRL,0805 1/8W,0.2R-0.33R,6.81,8.58,5000PCS
FRL,0805 1/8W,0.36R-0.99R,6.81,8.58,5000PCS
FRL,0805 1/8W,0.01R-0.018R,13.75,21.41,5000PCS
FRL,0805 1/8W,0.02R-0.033R,13.75,21.41,5000PCS
FRL,0805 1/8W,0.036R-0.099R,13.75,21.41,5000PCS
FRL,1206 1/4W,0.1R-0.18R,9.01,11.33,5000PCS
FRL,1206 1/4W,0.2R-0.33R,9.01,11.33,5000PCS
FRL,1206 1/4W,0.36R-0.99R,9.01,11.00,5000PCS
FRL,1206 1/4W,0.01R-0.018R,15.17,23.40,5000PCS
FRL,1206 1/4W,0.02R-0.033R,15.17,23.40,5000PCS
FRL,1206 1/4W,0.036R-0.049R,15.17,23.07,5000PCS
FRL,1206 1/4W,0.05R-0.091R,14.84,23.07,5000PCS
FRL,1210 1/2W,0.1R-0.18R,25.74,38.61,5000PCS
FRL,1210 1/2W,0.2R-0.33R,24.57,36.27,5000PCS
FRL,1210 1/2W,0.36R-0.99R,24.57,36.27,5000PCS
FRL,1210 1/2W,0.01R-0.018R,32.18,47.97,5000PCS
FRL,1210 1/2W,0.02R-0.033R,32.18,47.97,5000PCS
FRL,1210 1/2W,0.036R-0.049R,31.59,47.97,5000PCS
FRL,1210 1/2W,0.05R-0.091R,30.42,47.97,5000PCS
FRL,1812 3/4W,0.1R-0.18R,81.90,105.30,4000PCS
FRL,1812 3/4W,0.2R-0.33R,76.05,93.60,4000PCS
FRL,1812 3/4W,0.36R-0.99R,76.05,93.60,4000PCS
FRL,1812 3/4W,0.01R-0.018R,132.21,204.75,4000PCS
FRL,1812 3/4W,0.02R-0.033R,132.21,204.75,4000PCS
FRL,1812 3/4W,0.036R-0.049R,132.21,198.90,4000PCS
FRL,1812 3/4W,0.05R-0.091R,117.00,163.80,4000PCS
FRL,2010 3/4W,0.1R-0.18R,50.31,76.05,4000PCS
FRL,2010 3/4W,0.2R-0.33R,50.31,70.20,4000PCS
FRL,2010 3/4W,0.36R-0.99R,49.14,65.52,4000PCS
FRL,2010 3/4W,0.01R-0.018R,67.86,107.64,4000PCS
FRL,2010 3/4W,0.02R-0.033R,67.86,107.64,4000PCS
FRL,2010 3/4W,0.036R-0.049R,65.52,93.60,4000PCS
FRL,2010 3/4W,0.05R-0.091R,62.01,93.60,4000PCS
FRL,2512 1W,0.1R-0.18R,67.86,91.26,4000PCS
FRL,2512 1W,0.2R-0.33R,67.86,91.26,4000PCS
FRL,2512 1W,0.36R-0.99R,65.52,85.41,4000PCS
FRL,2512 1W,0.01R-0.018R,87.75,117.00,4000PCS
FRL,2512 1W,0.02R-0.033R,87.75,117.00,4000PCS
FRL,2512 1W,0.036R-0.049R,81.90,102.96,4000PCS
FRL,2512 1W,0.05R-0.091R,73.71,102.96,4000PCS
